"Month","Day_of_month","Day_of_week","ozone_reading","pressure_height","Wind_speed","Humidity","Temperature_Sandburg","Temperature_ElMonte","Inversion_base_height","Pressure_gradient","Inversion_temperature","Visibility"
"1","1","4",3,5480,8,20,40.5347308279616,39.7746143850504,5000,-15,30.56,200
"1","2","5",3,5660,6,40.9630641690235,38,46.7493482875492,4108.90355001223,-14,48.02556733083,300
"1","3","6",3,5710,4,28,40,49.4927845352463,2693,-25,47.66,250
"1","4","7",5,5700,3,37,45,52.2940273601074,590,-24,55.04,100
"1","5","1",5,5760,3,51,54,45.32,1450,25,57.02,60
"1","6","2",6,5720,4,69,35,49.64,1568,15,53.78,60
"1","7","3",4,5790,6,19,45,46.4,2631,-33,54.14,100
"1","8","4",4,5790,3,25,55,52.7,554,-28,64.76,250
"1","9","5",6,5700,3,73,41,48.02,2083,23,52.52,120
"1","10","6",7,5700,3,59,44,48.4855410989766,2654,-2,48.38,120
"1","11","7",4,5770,8,27,54,50.8530449845311,5000,-19,48.56,120
"1","12","1",6,5720,3,44,51,54.32,111,9,63.14,150
"1","13","2",5,5760,6,33,51,57.56,492,-44,64.58,40
"1","14","3",4,5780,6,19,54,56.12,5000,-44,56.3,200
"1","15","4",4,5830,3,19,58,62.24,1249,-53,75.74,250
"1","16","5",7,5870,2,19,61,64.94,5000,-67,65.48,200
"1","17","6",5,5840,5,19,64,56.566980018435,5000,-40,63.32,200
"1","18","7",9,5780,4,59,67,58.1872385138036,639,1,66.02,150
"1","19","1",4,5680,5,73,52,56.48,393,-68,69.8,10
"1","20","2",3,5720,4,19,54,51.6726020197089,5000,-66,54.68,140
"1","21","3",4,5760,3,19,54,53.6,5000,-58,51.98,250
"1","22","4",4,5730,4,26,58,52.7,5000,-26,51.98,200
"1","23","5",5,5700,5,59,69,51.08,3044,18,52.88,150
"1","24","6",6,5650,5,70,51,51.7773663753225,3641,23,47.66,140
"1","25","7",9,5680,3,64,53,55.8161263129498,111,-10,59.54,50
"1","26","1",5,5780,3,41.465411802145,56,53.6,692,-25,67.1,0
"1","27","2",6,5820,5,19,59,59.36,597,-52,70.52,70
"1","28","3",6,5830,4,28.3555993146175,59,60.08,2675.43011143225,-44,61.0713543472149,150
"1","29","4",6,5810,5,19,64,56.66,1791,-15,64.76,150
"1","30","5",11,5790,3,28,63,57.38,793,-15,65.84,120
"1","31","6",10,5800,2,32,63,58.7480818285989,531,-38,75.92,40
"2","1","7",7,5820,5,19,62,60.0544001989374,419,-29,75.74,120
"2","2","1",12,5770,8,76,63,57.2,816,-7,66.2,6
"2","3","2",9,5670,3,69,54,45.5,3651,62,49.1,30
"2","4","3",2,5590,3,76,36,37.4,5000,70,37.94,100
"2","5","4",3,5410,6,64,31,32.18,5000,28,32.36,200
"2","6","5",3,5350,7,62,30,32.54,1341,18,45.86,60
"2","7","6",2,5480,9,72,36,40.3618821382819,5000,0,38.66,350
"2","8","7",3,5600,7,76,42,47.0120666353643,3799,-18,45.86,250
"2","9","1",3,5490,11,72,37,38.48,5000,32,38.12,350
"2","10","2",4,5560,10,72,41,40.46,5000,-1,37.58,300
"2","11","3",6,5700,3,32,46,50.1642451703707,5000,-30,45.86,300
"2","12","4",8,5680,5,50,51,47.12,5000,-8,45.5,300
"2","13","5",6,5700,4,86,55,49.28,2398,21,53.78,200
"2","14","6",4,5650,5,61,41,47.6147626594453,5000,51,36.32,100
"2","15","7",3,5610,5,62,41,48.9950958613761,4281,42,41.36,250
"2","16","1",7,5730,5,66,49,52.4744530566985,1161,27,52.88,200
