,Aberystwyth,Brighton,Edinburgh,Exeter,Glasgow,Inverness,Liverpool,London,Newcastle,Nottingham,Oxford,Stratford
Aberystwyth,0,300,352,466,217,238,431,336,451,47,415,515
Brighton,300,0,638,180,595,190,138,271,229,236,214,393
Edinburgh,352,638,0,251,88,401,189,386,565,206,292,349
Exeter,466,180,251,0,139,371,169,316,180,284,206,198
Glasgow,217,595,88,139,0,310,211,295,474,130,133,165
Inverness,238,190,401,371,310,0,202,122,378,157,362,542
Liverpool,431,138,189,169,211,202,0,183,67,268,117,369
London,336,271,386,316,295,122,183,0,483,155,448,108
Newcastle,451,229,565,180,474,378,67,483,0,299,246,418
Nottingham,47,236,206,284,130,157,268,155,299,0,202,327
Oxford,415,214,292,206,133,362,117,448,246,202,0,394
Stratford,515,393,349,198,165,542,368,108,418,327,394,0
